"Date","Price","Open","High","Low","Vol.","Change %"
"01/08/2020","1.1103","1.1154","1.1169","1.1101","","-0.43%"
"01/07/2020","1.1151","1.1198","1.1198","1.1133","","-0.38%"
"01/06/2020","1.1193","1.1168","1.1207","1.1155","","0.31%"
"01/03/2020","1.1158","1.1172","1.1181","1.1125","","-0.11%"
"01/02/2020","1.1170","1.1212","1.1227","1.1163","","-0.36%"
"01/01/2020","1.1210","1.1213","1.1223","1.1205","","0.00%"
"12/31/2019","1.1210","1.1198","1.1240","1.1198","","0.12%"
"12/30/2019","1.1197","1.1175","1.1223","1.1170","","0.20%"
"12/27/2019","1.1175","1.1097","1.1188","1.1095","","0.71%"
"12/26/2019","1.1096","1.1091","1.1110","1.1082","","0.05%"
"12/25/2019","1.1090","1.1089","1.1107","1.1073","","0.03%"
"12/24/2019","1.1087","1.1089","1.1095","1.1069","","0.01%"
"12/23/2019","1.1086","1.1081","1.1097","1.1069","","0.07%"
"12/20/2019","1.1078","1.1122","1.1127","1.1065","","-0.38%"
"12/19/2019","1.1120","1.1113","1.1145","1.1107","","0.08%"
"12/18/2019","1.1111","1.1150","1.1156","1.1110","","-0.34%"
"12/17/2019","1.1149","1.1143","1.1176","1.1128","","0.06%"
"12/16/2019","1.1142","1.1122","1.1159","1.1122","","0.21%"
"12/13/2019","1.1119","1.1129","1.1200","1.1111","","-0.08%"
"12/12/2019","1.1128","1.1130","1.1155","1.1102","","0.00%"
"12/11/2019","1.1128","1.1092","1.1145","1.1070","","0.32%"
"12/10/2019","1.1092","1.1063","1.1099","1.1062","","0.27%"
"12/09/2019","1.1062","1.1055","1.1079","1.1052","","0.05%"
"12/06/2019","1.1057","1.1105","1.1111","1.1040","","-0.41%"
"12/05/2019","1.1102","1.1079","1.1109","1.1077","","0.23%"
"12/04/2019","1.1076","1.1082","1.1116","1.1066","","-0.05%"
"12/03/2019","1.1081","1.1078","1.1094","1.1065","","0.04%"
"12/02/2019","1.1077","1.1014","1.1090","1.1003","","0.56%"
"11/29/2019","1.1015","1.1008","1.1029","1.0980","","0.07%"
"11/28/2019","1.1007","1.0999","1.1019","1.0999","","0.08%"
"11/27/2019","1.0998","1.1020","1.1026","1.0991","","-0.18%"
"11/26/2019","1.1018","1.1014","1.1027","1.1006","","0.05%"
"11/25/2019","1.1013","1.1024","1.1033","1.1004","","-0.08%"
"11/22/2019","1.1022","1.1058","1.1086","1.1014","","-0.32%"
"11/21/2019","1.1057","1.1074","1.1098","1.1051","","-0.14%"
"11/20/2019","1.1072","1.1078","1.1083","1.1053","","-0.05%"
"11/19/2019","1.1078","1.1072","1.1085","1.1062","","0.07%"
"11/18/2019","1.1070","1.1052","1.1091","1.1048","","0.18%"
"11/15/2019","1.1050","1.1021","1.1058","1.1014","","0.26%"
"11/14/2019","1.1021","1.1006","1.1028","1.0989","","0.14%"
"11/13/2019","1.1006","1.1010","1.1021","1.0994","","-0.01%"
"11/12/2019","1.1007","1.1033","1.1040","1.1002","","-0.23%"
"11/11/2019","1.1032","1.1022","1.1044","1.1016","","0.15%"
"11/08/2019","1.1016","1.1050","1.1056","1.1016","","-0.30%"
"11/07/2019","1.1049","1.1066","1.1092","1.1035","","-0.14%"
"11/06/2019","1.1065","1.1075","1.1094","1.1064","","-0.08%"
"11/05/2019","1.1074","1.1128","1.1141","1.1063","","-0.47%"
"11/04/2019","1.1126","1.1165","1.1176","1.1124","","-0.35%"
"11/01/2019","1.1165","1.1152","1.1172","1.1128","","0.13%"
"10/31/2019","1.1150","1.1151","1.1176","1.1130","","0.02%"
"10/30/2019","1.1148","1.1112","1.1152","1.1079","","0.34%"
"10/29/2019","1.1110","1.1099","1.1120","1.1073","","0.11%"
"10/28/2019","1.1098","1.1082","1.1108","1.1076","","0.18%"
"10/25/2019","1.1078","1.1104","1.1123","1.1072","","-0.23%"
"10/24/2019","1.1104","1.1131","1.1164","1.1092","","-0.22%"
"10/23/2019","1.1129","1.1125","1.1141","1.1106","","0.04%"
"10/22/2019","1.1124","1.1150","1.1158","1.1118","","-0.22%"
"10/21/2019","1.1148","1.1143","1.1180","1.1137","","-0.19%"
"10/18/2019","1.1169","1.1125","1.1173","1.1114","","0.42%"
"10/17/2019","1.1122","1.1072","1.1141","1.1064","","0.47%"
"10/16/2019","1.1070","1.1033","1.1086","1.1021","","0.35%"
"10/15/2019","1.1031","1.1028","1.1047","1.0991","","0.03%"
"10/14/2019","1.1028","1.1044","1.1050","1.1013","","-0.11%"
"10/11/2019","1.1040","1.1006","1.1063","1.1000","","0.33%"
"10/10/2019","1.1004","1.0971","1.1035","1.0970","","0.32%"
"10/09/2019","1.0969","1.0956","1.0991","1.0951","","0.14%"
"10/08/2019","1.0954","1.0971","1.0997","1.0941","","-0.15%"
"10/07/2019","1.0970","1.0976","1.1001","1.0962","","-0.05%"
"10/04/2019","1.0976","1.0963","1.0999","1.0956","","0.11%"
"10/03/2019","1.0964","1.0959","1.1000","1.0941","","0.05%"
"10/02/2019","1.0958","1.0933","1.0964","1.0904","","0.26%"
"10/01/2019","1.0930","1.0900","1.0943","1.0878","","0.29%"
"09/30/2019","1.0898","1.0940","1.0948","1.0884","","-0.37%"
"09/27/2019","1.0938","1.0921","1.0960","1.0905","","0.16%"
"09/26/2019","1.0921","1.0942","1.0969","1.0908","","-0.18%"
"09/25/2019","1.0941","1.1020","1.1025","1.0937","","-0.70%"
"09/24/2019","1.1018","1.0994","1.1025","1.0983","","0.25%"
"09/23/2019","1.0991","1.1016","1.1027","1.0965","","-0.24%"
"09/20/2019","1.1017","1.1042","1.1069","1.0996","","-0.21%"
"09/19/2019","1.1040","1.1030","1.1075","1.1022","","0.10%"
"09/18/2019","1.1029","1.1073","1.1077","1.1013","","-0.38%"
"09/17/2019","1.1071","1.1000","1.1076","1.0990","","0.65%"
"09/16/2019","1.1000","1.1087","1.1093","1.0993","","-0.66%"
"09/13/2019","1.1073","1.1063","1.1110","1.1055","","0.11%"
"09/12/2019","1.1061","1.1011","1.1087","1.0927","","0.47%"
"09/11/2019","1.1009","1.1044","1.1056","1.0984","","-0.31%"
"09/10/2019","1.1043","1.1047","1.1061","1.1030","","-0.03%"
"09/09/2019","1.1046","1.1024","1.1069","1.1015","","0.17%"
"09/06/2019","1.1027","1.1034","1.1057","1.1020","","-0.05%"
"09/05/2019","1.1033","1.1037","1.1085","1.1016","","0.00%"
"09/04/2019","1.1033","1.0974","1.1039","1.0968","","0.56%"
"09/03/2019","1.0972","1.0970","1.0979","1.0926","","0.05%"
"09/02/2019","1.0966","1.0989","1.1000","1.0957","","-0.21%"
"08/30/2019","1.0989","1.1056","1.1062","1.0963","","-0.60%"
"08/29/2019","1.1055","1.1077","1.1092","1.1042","","-0.20%"
"08/28/2019","1.1077","1.1091","1.1099","1.1072","","-0.12%"
"08/27/2019","1.1090","1.1103","1.1116","1.1085","","-0.09%"
